,Unnamed: 0,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId,year,month
158,158,2021-06-19 11:20,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
157,157,2021-03-03 08:40,wind,海洋竹南,['海洋竹南'],128.0,87.1,68.05,True,online,,,2021,03
158,158,2021-05-08 11:00,wind,海洋竹南,['海洋竹南'],128.0,88.2,68.91,True,online,,,2021,05
158,158,2021-06-10 23:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-05-16 03:10,wind,海洋竹南,['海洋竹南'],128.0,105.6,82.5,True,online,,,2021,05
158,158,2021-06-24 15:10,wind,海洋竹南,['海洋竹南'],128.0,12.0,9.38,True,online,,,2021,06
157,157,2021-03-04 11:20,wind,海洋竹南,['海洋竹南'],128.0,5.7,4.45,True,online,,,2021,03
158,158,2021-03-27 04:50,wind,海洋竹南,['海洋竹南'],128.0,0.4,0.31,True,online,,,2021,03
157,157,2021-01-01 18:30,wind,海洋竹南,['海洋竹南'],128.0,123.5,96.48,True,online,,,2021,01
158,158,2021-05-21 21:30,wind,海洋竹南,['海洋竹南'],128.0,79.4,62.03,True,online,,,2021,05
158,158,2021-04-24 10:10,wind,海洋竹南,['海洋竹南'],128.0,122.2,95.47,True,online,,,2021,04
158,158,2021-05-15 07:50,wind,海洋竹南,['海洋竹南'],128.0,25.6,20.0,True,online,,,2021,05
157,157,2021-01-03 21:50,wind,海洋竹南,['海洋竹南'],128.0,76.9,60.08,True,online,,,2021,01
157,157,2021-02-27 04:40,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,02
157,157,2021-03-01 06:00,wind,海洋竹南,['海洋竹南'],128.0,0.4,0.31,True,online,,,2021,03
158,158,2021-03-25 12:30,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,03
158,158,2021-04-30 03:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
157,157,2021-01-10 08:40,wind,海洋竹南,['海洋竹南'],128.0,127.9,99.92,True,online,,,2021,01
157,157,2021-03-17 16:20,wind,海洋竹南,['海洋竹南'],128.0,61.3,47.89,True,online,,,2021,03
158,158,2021-06-25 19:30,wind,海洋竹南,['海洋竹南'],128.0,0.4,0.31,True,online,,,2021,06
157,157,2021-02-16 02:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-04-09 20:20,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,04
158,158,2021-04-28 09:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
157,157,2021-02-01 04:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-03-25 19:00,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,03
158,158,2021-06-22 22:40,wind,海洋竹南,['海洋竹南'],128.0,29.4,22.97,True,online,,,2021,06
158,158,2021-05-12 12:10,wind,海洋竹南,['海洋竹南'],128.0,119.9,93.67,True,online,,,2021,05
157,157,2021-01-09 16:30,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,01
